MW,LogP,TPSA,HBD,HBA,RotBonds,AroRings,HeavyAtoms,Heteroatoms
402.5420000000002,3.711400000000002,48.470000000000006,1,4,6,3,30,5
296.37000000000006,2.3794000000000004,52.57,2,3,4,2,22,4
323.44000000000005,2.383000000000001,35.580000000000005,1,3,4,2,24,4
320.40000000000003,1.8612999999999993,69.73,2,5,4,3,24,6
350.5060000000002,4.300100000000003,32.34,1,3,7,2,26,3
746.9079999999999,2.1331999999999995,157.73999999999998,4,12,7,2,52,14
277.3709999999999,2.55288,39.06,1,3,3,2,21,3
381.52000000000015,3.171800000000001,44.81,1,4,7,2,28,5
337.51100000000014,3.5230000000000024,18.509999999999998,1,3,7,2,25,3
387.5490000000002,2.7117000000000013,52.650000000000006,1,4,7,2,27,6
365.52100000000024,3.5054000000000025,26.790000000000006,0,3,6,2,27,4
423.60100000000017,4.338900000000003,44.81,1,4,7,2,31,5
401.5540000000002,4.316400000000003,35.580000000000005,1,3,6,3,30,4
402.5420000000002,3.711400000000002,48.470000000000006,1,4,6,3,30,5
774.9619999999998,2.9134,157.73999999999998,4,12,7,2,54,14
402.5420000000002,3.711400000000002,48.470000000000006,1,4,6,3,30,5
365.5210000000002,3.4716200000000024,35.580000000000005,1,3,6,2,27,4
390.53100000000023,3.6445000000000016,51.370000000000005,2,3,6,3,29,5
365.52100000000024,3.553300000000002,35.580000000000005,1,3,6,2,27,4
323.44000000000005,2.4309000000000003,44.370000000000005,2,3,5,2,24,4
401.5540000000002,4.316400000000003,35.580000000000005,1,3,6,3,30,4
357.5420000000001,3.6952000000000025,35.580000000000005,1,3,6,1,26,4
411.54900000000026,3.976300000000003,35.58,1,3,4,3,31,4
402.5420000000002,3.711400000000002,48.470000000000006,1,4,6,3,30,5
405.58600000000035,4.285600000000004,26.790000000000006,0,3,8,2,30,4
573.6760000000002,-1.8408999999999924,238.07999999999998,7,7,15,2,40,14
2147.523000000001,-6.35918999999991,917.3700000000001,33,27,71,4,153,54
1565.9430000000002,-5.6463999999999785,648.9699999999999,21,21,39,2,109,40
616.7410000000002,-0.29432999999999443,204.79999999999998,7,8,15,2,43,14
532.6190000000003,-0.556299999999994,193.90999999999997,6,7,14,2,37,12
546.6460000000004,-0.4678999999999949,182.91,5,8,14,2,38,12
531.6350000000002,-1.155599999999993,199.7,6,7,14,2,37,12
602.7140000000002,-0.8109999999999944,212.5,5,8,15,2,42,14
455.51500000000027,-0.9042999999999966,176.64000000000001,6,6,11,2,33,10
560.6730000000005,-0.07939999999999586,182.91,5,8,14,2,39,12
1603.002000000001,-4.866299999999959,674.9899999999999,22,20,54,2,114,39
588.6870000000001,-1.1531999999999938,221.29000000000002,6,8,15,2,41,14
560.6730000000005,-0.12569999999999543,174.12,4,8,14,2,39,12
1324.6080000000004,-5.791100000000002,564.7499999999999,18,18,27,2,92,35
1565.9430000000002,-5.646399999999969,648.9699999999999,21,21,39,2,109,40
546.6460000000004,-0.21409999999999524,185.12,5,7,14,2,38,12
545.6620000000004,-0.8133999999999928,190.91,5,7,14,2,38,12
408.4730000000002,3.3190000000000017,54.699999999999996,1,4,6,3,30,6
546.6460000000003,-0.16779999999999534,193.91,6,7,14,2,38,12
545.6620000000001,-0.7670999999999948,199.70000000000002,6,7,14,2,38,12
486.49000000000007,4.682700000000004,71.77000000000001,1,4,8,3,35,9
1565.9430000000002,-5.6463999999999785,648.9699999999999,21,21,39,2,109,40
1282.5270000000005,-6.817300000000009,564.7499999999999,18,18,25,2,89,35
802.886,-2.003099999999989,295.60999999999996,10,11,19,3,58,18
480.5740000000001,5.793000000000006,23.550000000000004,0,2,9,3,35,6
517.6200000000002,6.181880000000007,65.36,1,4,10,3,38,7
413.86100000000016,2.9090000000000016,76.56,1,5,3,3,29,8
374.46200000000005,0.7988999999999999,78.87,3,6,2,1,26,7
521.6520000000003,5.845500000000006,44.81,1,3,11,3,38,7
476.61100000000016,6.044000000000007,23.550000000000004,0,2,10,3,35,5
355.86900000000014,4.5408200000000045,41.29,1,3,3,3,25,5
461.5560000000001,5.8570000000000055,41.03,1,2,7,4,34,6
477.42600000000033,6.228800000000008,6.48,0,2,6,3,32,6
474.5570000000002,3.5925400000000023,113.09000000000002,3,5,6,3,35,7
398.4590000000001,1.92554,113.09000000000002,3,5,5,2,29,7
468.6670000000002,3.506240000000002,90.95,4,4,5,2,33,7
384.43200000000013,1.62254,124.09000000000002,4,5,4,2,28,7
444.5310000000002,3.583940000000002,103.86,3,4,5,3,33,6
423.6010000000002,3.468040000000002,78.59,3,4,6,2,31,5
398.4590000000001,1.92554,113.09000000000002,3,5,5,2,29,7
381.52000000000015,2.3939400000000006,69.8,2,4,5,2,28,5
462.5210000000002,3.723040000000002,103.86,3,4,5,3,34,7
488.65700000000015,4.230240000000003,90.95,4,4,6,3,35,7
450.5600000000002,3.6454400000000016,103.86,3,5,5,3,32,7
354.4500000000001,1.82464,86.79,3,4,4,2,26,5
394.5150000000002,3.0349400000000015,75.79,2,4,7,2,29,5
379.4640000000001,3.142640000000002,115.32000000000001,2,4,5,2,28,7
395.5070000000002,1.1057400000000013,130.96,4,4,5,2,29,7
457.5740000000002,3.262340000000001,95.66,3,4,6,3,34,6
368.4330000000001,1.91694,103.86,3,4,4,2,27,6
474.5570000000002,3.5925400000000023,113.09000000000002,3,5,6,3,35,7
437.58400000000023,2.9946400000000013,95.66,3,4,5,2,32,6
424.54500000000024,2.151439999999999,107.69000000000001,4,4,6,2,31,7
768.869,-1.6631999999999942,301.23999999999995,10,10,21,2,55,18
474.5570000000003,3.5925400000000014,113.09,3,5,6,3,35,7
395.5030000000002,1.968439999999999,95.66000000000001,3,4,5,2,29,6
492.5470000000003,3.7316400000000014,113.09,3,5,6,3,36,8
354.4060000000001,1.9654399999999999,98.66000000000001,4,4,4,2,26,6
472.58900000000017,3.654040000000002,107.69,4,4,6,3,35,7
556.2510000000003,3.450540000000002,113.09000000000002,3,5,5,2,31,9
396.4870000000002,2.39544,92.86,2,5,5,2,29,6
394.51900000000023,2.41911,102.44000000000001,4,4,5,2,29,6
542.2240000000002,3.147540000000001,124.09000000000002,4,5,4,2,30,9
353.4660000000001,1.7910399999999997,92.58,3,4,4,2,26,5
484.55200000000025,4.330140000000002,117.00000000000001,3,5,5,4,36,7
556.2510000000003,3.450540000000002,113.09000000000002,3,5,5,2,31,9
338.4510000000001,2.852240000000001,66.56,2,3,3,2,25,4
444.5310000000002,3.583940000000002,103.86,3,4,5,3,33,6
462.5210000000002,3.723040000000002,103.86,3,4,5,3,34,7
444.5750000000002,4.049140000000003,75.79,2,4,7,3,33,5
443.5910000000002,3.6221400000000017,78.59,3,4,7,3,33,5
368.4770000000001,2.478740000000001,75.79,2,4,5,2,27,5
452.5990000000002,2.930040000000001,107.69,4,4,5,2,33,7
504.5830000000003,3.601140000000002,122.32000000000001,3,6,7,3,37,8
530.7130000000002,4.100340000000002,107.69,4,4,6,2,39,7
1339.6190000000006,-4.803300000000018,558.9599999999999,18,18,27,2,93,35
1356.6500000000008,-5.568999999999996,593.7699999999999,20,19,35,2,94,36
1603.986000000001,-3.6379899999999727,661.6999999999999,25,20,54,2,114,39
1313.6210000000005,-3.576500000000024,529.3699999999999,18,18,33,2,91,33
1297.5780000000004,-4.116400000000021,520.5799999999998,17,18,30,2,90,33
1347.6839999999997,-4.537599999999992,573.6999999999998,19,17,45,2,96,33
1319.6700000000005,-3.462200000000001,535.3199999999999,18,17,45,2,94,31
1566.9270000000004,-5.0470999999999755,643.18,21,21,39,2,109,40
1566.9270000000008,-5.047099999999988,643.18,21,21,33,2,109,40
1347.6840000000007,-4.537599999999989,573.6999999999999,19,17,45,2,96,33
1347.6840000000007,-4.537599999999996,573.6999999999998,19,17,45,2,96,33
1362.699000000001,-5.454699999999983,599.7199999999999,20,18,47,2,97,34
1337.6030000000005,-4.9658000000000175,550.17,17,18,24,2,93,35
1309.5930000000005,-4.897400000000012,538.7299999999999,17,17,27,2,91,34
1347.6840000000007,-4.537599999999989,573.6999999999999,19,17,45,2,96,33
1581.942000000001,-5.964199999999963,669.1999999999999,22,22,43,2,110,41
1353.6460000000006,-4.413200000000017,558.9599999999999,18,18,27,2,94,35
1319.6700000000008,-3.4622000000000055,535.3199999999998,18,17,45,2,94,31
1362.6510000000007,-3.7826900000000006,577.4799999999999,22,17,44,2,97,34
1356.6500000000008,-5.569000000000005,593.7699999999998,20,19,33,2,94,36
1347.6840000000007,-4.537599999999996,573.6999999999998,19,17,45,2,96,33
477.69300000000027,5.624200000000006,36.019999999999996,0,4,9,2,35,5
673.8580000000004,1.962000000000003,199.95,7,9,5,1,46,14
659.8310000000001,1.6731000000000027,199.94999999999996,7,9,7,2,45,14
475.6770000000003,5.3814000000000055,36.019999999999996,0,4,7,2,35,5
659.8310000000001,1.420520000000003,199.94999999999996,7,9,7,2,45,14
477.6930000000003,5.627400000000006,36.019999999999996,0,4,11,2,35,5
675.8300000000002,1.1207000000000045,209.17999999999995,7,10,8,2,46,15
436.2210000000003,5.003300000000005,23.550000000000004,0,2,2,1,24,6
405.38,4.708300000000005,23.55,0,2,4,1,25,4
435.6120000000002,4.457100000000004,36.019999999999996,0,4,8,2,32,5
690.8010000000003,1.0203000000000029,243.08999999999997,7,11,8,2,47,17
447.6230000000002,4.601200000000005,36.019999999999996,0,4,7,2,33,5
421.58500000000015,4.067000000000004,36.019999999999996,0,4,7,2,31,5
461.65000000000026,4.991300000000005,36.019999999999996,0,4,7,2,34,5
477.69300000000027,5.627400000000006,36.019999999999996,0,4,11,2,35,5
659.8310000000001,1.420520000000003,199.94999999999996,7,9,7,2,45,14
659.8310000000001,1.6731000000000027,199.94999999999996,7,9,7,2,45,14
659.8310000000001,1.6731000000000027,199.94999999999996,7,9,7,2,45,14
444.2110000000003,4.690600000000004,23.550000000000004,0,2,2,1,23,5
771.7,1.716700000000001,199.95,7,9,7,2,45,15
355.3090000000001,4.059100000000003,32.34,1,2,3,1,23,5
529.5930000000002,3.5739000000000027,111.01,1,7,7,2,39,9
529.5930000000002,3.6610000000000023,122.00999999999999,2,7,6,2,39,9
489.52800000000025,2.793700000000001,111.01,1,7,5,2,36,9
489.5280000000002,2.8808000000000016,122.01000000000002,2,7,4,2,36,9
527.5770000000002,3.3499000000000025,111.01,1,7,7,2,39,9
487.5120000000003,2.569700000000001,111.01,1,7,5,2,36,9
